AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Fairchild C119G / Fairchild C119G,Near Edelweiler,11258, West Germany,8/11/1955,"Near Edelweiler, West Germany",Military - U.S. Air Force / Military - U.S. Air Force,53-3222/53-7841,Dreux - Stuttgart,"Participating in a U.S. military exercise, the two planes collided in midair while in formation after one of the planes pulled out of formation because of engine trouble. The accident occurred at an altitude of 4,000 feet.  Forty-six aboard 7841 and 20 aboard 3222 were killed.",12/30/1899 2:20:00 PM,67,10,57,1,67,10,57,,0
Douglas DC-3,Caparao Mountain,11692, Brazil,8/26/1955,"Caparao Mountain, Brazil",Cruzeiro,PP-CBY,Rio de Janeiro - Caravelas,"Hit Caparao Mountain while en route, 1 hour after taking off.  Failure to follow flight plan.",12/30/1899 8:00:00 AM,13,4,9,1,13,4,9,,0
Douglas C-47A,Simra,13285, Nepal,8/30/1955,"Simra, Nepal",Kalinga Airlines,VT-AZX,,"The cargo plane lifted off too early, stalled and crashed. The pilot tried to avoid a person on the runway.",,3,3,0,1,2,2,0,,0
Douglas DC-3,Lanywa,12579, Burma (Myanmar),9/2/1955,"Lanywa, Burma (Myanmar)",Union of Burma Airways,XY-ACQ,Meiktila - Lanywa,Flew into Mount Popa located about 45 km east of Lanywa.,,12,3,9,1,12,3,9,,0
Douglas DC-3,Burbank,6257, California,9/8/1955,"Burbank, California",Currey Air Transport,N74663,Burbank - Oakland,"The plane returned after failure of the No. 2 engine, stalled and crashed 200 yards short of the runway  into parked aircraft and a hanger.  The captain's commitment to a landing without radio or visual confirmation of his runway alignment following engine failure immediately after takeoff.",12/30/1899 7:57:00 AM,33,3,30,1,2,2,0,24,1
Latecoere 631 (flying boat),Near Banyo,8, Cameroon,9/10/1955,"Near Banyo, Cameroon",Societe France Hydro,F-BDRE,Lac LérÃ¨ - Douala,Crashed into the Cameroon mountains after the wing separated due to severe turbulence.,,16,8,8,1,16,8,8,,0
Bristol 170 Freighter 31,Near Thorhild,12831, Canada,9/17/1955,"Near Thorhild, Alberta, Canada",Pacific Western Airlines,CF-GBT,Edmonton - Yellowknife,"For reasons undetermined, the right engine failed and as a result of being overloaded, the aircraft did not maintain altitude on one engine and struck the ground with the right wingtip. A possible contributing factor was the failure of the co-pilot's vacuum-driven gyro instruments, without his knowledge.",12/30/1899 12:50:00 AM,6,2,4,1,2,1,1,,0
Canadair C-4 Argonaut,Idris,158, Libya,9/22/1955,"Idris, Libya",British Overseas Airways,G-ALHL,Rome - Tripoli,"Crash landed in a sandstorm on the fourth landing attempt.  The plane came in too low, struck a line of trees and crashed 1,200 yards short of the runway.  Pilot error.  In an error in judgement, the captain who allowed his desire to keep the runway lights in view failed to make adequate reference to his flight instruments.",12/30/1899 12:23:00 AM,47,7,40,1,15,2,13,,0
Douglas C-54A,Pacific Ocean (1,10410, HI),9/24/1955,"Pacific Ocean (1,000 miles west of Honolulu, HI)",Flying Tiger Line,N90433,Wake Island - Honolulu,The cargo plane lost 3 engines and ditched into the Pacific Ocean. The loss of power in three engines due to incorrect fuel system management and faulty restarting methods which resulted in the ditching of the aircraft.,12/30/1899 8:48:00 PM,5,5,0,1,3,3,0,,0
Avro 685 York C-1,Yellowknife,, Canada,9/29/1955,"Yellowknife, Northwest Territory, Canada",Associated Airways,CF-HMV,Shepard Bay -Yellowknife,The cargo plane ditched into the Thoa river. The pilot radioed he was going down and was ditching into a lake. Fuel exhaustion.,12/30/1899 1:10:00 PM,2,2,0,1,1,1,0,,0
Douglas C54A,Pico Oiriruma-Vinac,10277, Peru,10/2/1955,"Pico Oiriruma-Vinac, Peru",Faucett,OB-PAZ-228,Lima - Cuzco,Crashed in adjacent mountains while attempting an emergency landing following an engine fire.,,35,4,31,1,19,4,15,,0
Douglas DC-4,Near Centennial,18389, Wyoming,10/6/1955,"Near Centennial, Wyoming",United Air Lines,N30062,Denver - Salt Lake City - San Francisco,"The aircraft crashed into cloud covered Medicine Bow Peak while en route. The plane failed to clear the 12,013 ft. peak by 75 feet. The pilot deviated from course for reasons unknown.  Possible incapacitation of crew by carbon monoxide emanating from a faulty cabin heater, though never proven.",12/30/1899 7:26:00 AM,66,3,63,1,66,3,63,409,0
Convair CV-340-58, Near Vienna,178, Austria,10/10/1955," Near Vienna, Austria",JAT Yugoslav Airlines,YU-ADC,Beograd - Wien,Crashed into Kahlenberg Hill while on approach to Wien.  The aircraft flew for a longer time on the outbound track and descended below the prescribed minimum altitutde. Pilot error.,12/30/1899 3:40:00 PM,29,4,25,1,7,1,6,,0
Douglas DC-6B,Longmont,43538, Colorado,11/1/1955,"Longmont, Colorado",United Air Lines,N37559,Denver - Portland,"The aircraft crashed 11 minutes after taking off from Denver Stapleton Airport, 8 miles east of Longmont.  Detonation of a dynamite bomb in the No. 4 cargo hold, placed by John (Jack) Gilbert Graham in his mother's luggage in order to collect $37,500 in insurance.  A delayed flight caused the bomb to detonate over flat land rather than the mountains as planned.  Graham never showed any remorse for his actions and refused to file any appeals. He was executed for the crime on 1/11/56.",12/30/1899 7:03:00 PM,44,5,39,1,44,5,39,629,0
Douglas MC-54M,Near Las Vegas,27294, Nevada,11/17/1955,"Near Las Vegas, Nevada",Military - U.S. Air Force,44-9068,Burbank - Groom Dry Lake,Crashed into the  peak of Mount Charleston 30 miles WNW of Las Vegas during a storm.,,14,4,10,1,14,4,10,,0
Douglas C-54,Seattle,3123, Washingon,11/17/1955,"Seattle, Washingon",Peninsular,N88852,Seattle - Newark,Crashed on takeoff. In-flight prop failure.  Maintenance error.  The excessively high drag resulting from the improperly indexed propeller blades and inability to feather.,12/30/1899 11:59:00 PM,74,4,70,1,28,1,27,,0
Douglas C124-DL Globemaster II,Iwo Jima,43483, Japan,11/20/1955,"Iwo Jima, Japan",Military - US Air Force,51-0149,Iwo Jima AFB - Tachikawa AFB,The military transport crashed seconds after taking off from Central Airport in Iwo Jima. Malfunction of the number one engine propeller that went into reverse after an electrical short-circuit occurred.,12/30/1899 6:59:00 PM,11,9,2,1,10,8,2,,0
Boeing RB-52B,Near Ballico,, California,11/30/1955,"Near Ballico, California",Military - U.S. Air Force,52-8716,,The aircraft crashed into a wooded area in 5 degree nose-down attitude.  Abnormal nose-down trim condition which could not be corrected due to an unknown malfunction.,12/30/1899 10:00:00 PM,10,10,0,1,10,10,0,,0
Douglas DC-3,Belem,15845/32593, Brazil,12/1/1955,"Belem, Brazil",Cruzeiro,PP-CCC,Belem - Barreiras,"Shortly after taking off, the No.1 engine lost power. The crew shut off the hydraulic pump which caused the landing gear to stop retracting halfway. The resulting drag, caused the aircraft to lose altitude. The left wing struck a tree and the plane crashed and burned. Failure of the front bearing of the propeller shaft leading to disconnection of the reduction gear and left propeller and causing a sudden failure of the left engine.",12/30/1899 6:57:00 AM,6,2,4,1,6,2,4,,0
Li-2,Khabarovsk Territory,23443306, Russia,12/9/1955,"Khabarovsk Territory, Russia",Aeroflot,CCCP-L4993,Yuzhno-Sakhalinsk - Khabarovsk,Flew into a mountain wave in the Sikhote-Alin Mountain Range while en route.,12/30/1899 12:07:00 PM,21,5,16,1,21,5,16,976,0
Curtiss C-46A,Hollywood,30262, South Carolina,12/17/1955,"Hollywood, South Carolina",Riddle Airlines,N9904F,New York - Miami,The cargo plane was carrying mail . An in-flight structural failure resulting from a violent pitch-down induced by the erratic action of nonconforming elevator tab controls.,12/30/1899 8:40:00 PM,2,2,0,1,2,2,0,,0
Douglas DC-3,Sao Paulo,, Brazil,12/19/1955,"Sao Paulo, Brazil",Cruzeiro Do Sud,,Sao Paulo - Belem,Crashed on takeoff.,,26,,,1,26,,,,0
Lockheed 749C-79-12 Constellation,Jacksonville,2533, Florida,12/21/1955,"Jacksonville, Florida",Eastern Air Lines,N112A,Miami - Jacksonville - Boston,The plane crashed while on approach and during an attempted go-around.  The crew allowed the aircraft to deviate to the left of course and descent below the glide path for reasons unknown.  The crew encountered local fog and restricted visibility during the final approach of an ILS approach and missed approach procedure came too late to prevent the aircraft from descending into the ground.,12/30/1899 3:43:00 AM,17,5,12,1,17,5,12,642,0
Douglas C-47,Frederick Henry Bay,4651,  Australia,1/12/1956,"Frederick Henry Bay,  Australia",Ansett ANA,VH-BZA,Melbourne - Hobart,"The cargo plane flew into the water upon approach. The pilot relied on inadequate external visual reference for determining the altitude and paid insufficient attention to the instruments. The irregular approach procedure carried out by the pilot in command deprived him of the opportunity to monitor the safe approach to the aerodrome through the correlation of time, height and position.",12/30/1899 3:40:00 AM,2,2,0,1,1,1,0,,0
Douglas DC-3,Oreway,15552/26997, Canada,1/17/1956,"Oreway, Newfoundland, Canada",Quebecair,CF-GVZ,Knob Lake - Oreway,Loss of the No. 2 engine necessitated a forced crash landing near a railway station.  Failure to maintain height at night due to the loss of the starboard engine in icing conditions.  The aircraft was also overloaded.,12/30/1899 12:52:00 AM,18,3,15,1,4,3,1,,0
Douglas DC-3,Torysa,9385, Czechoslovakia,1/18/1956,"Torysa, Czechoslovakia",Ceskoslovenske Aerolinie,OK-WDZ,Bratislava - Kosice,"After being diverted, while cruising in bad weather conditions, the aircraft hit trees and crashed in a snow covered and wooded area located in the Tatra Mountain Range.",12/30/1899 2:49:00 PM,26,3,23,1,22,3,19,,0
Douglas C-47,Lyon,4509, France,1/28/1956,"Lyon, France",Air France,F-BCYK,Nice - Marseille - Lyon - Paris,"While in heavy fog and on final approach, the airplane was too low and hit telephone lines before crashing in a field  about 2 km short of the runway.",12/30/1899 12:17:00 AM,3,3,0,1,3,3,0,,0
Bristol 170 Freighter 31,Frobisher Bay,, Canada,2/13/1956,"Frobisher Bay, Canada",Maritime Central Airways,CF-FZU,"Frobisher Bay, Baffin Island - Fort Chimo, Quebec",Loss of control due to improperly secured heavy cargo breaking loose and sliding to the rear of the aircraft during takeoff.,,2,2,0,1,2,2,0,,0
Douglas C-47-DL,Near Fort Chimo,6079, Canada,2/14/1956,"Near Fort Chimo, Quebec, Canada",Spartan Air Services,CF-BZH,"Frobisher Bay, Baffin Island - Fort Chimo, Quebec",Crashed on a ferrying flight. Soldier-of-fortune Harold (Whitey) Dahl killed.,,3,3,0,1,2,2,0,,0
Douglas R5D2,Near Niles,18331, California,2/17/1956,"Near Niles, California",Military - U.S. Marine Corps,39116,El Toro MAS - Alameda NAS,Crashed into Sunol Ridge after circling for half-an-hour while attempting to land at Alameda Naval Air Station.  Non adherence of the crew to the holding pattern and departure from the radio beacon and descent in a unprescribed manner.,12/30/1899 1:42:00 PM,40,5,35,1,40,5,35,,0
Avro 685 York C-1,Near Zurrieg,MW193, Malta,2/18/1956,"Near Zurrieg, Malta",Scottish Airlines,G-ANSY,Luqa -Stansted,The aircraft took off from Luqua Airport in Malta bound for England when smoke was seen coming from the left engine.  Shortly thereafter it banked to the left and plunged almost vertically into cliffs.  Engine failure due to cracks in the boost enrichment capsule and the failure of the captain to stop the leftward swing of the aircraft using the rudder. Failure to correct the nose high attitude and failure to feather the No. 1 engine.,12/30/1899 1:23:00 PM,50,5,45,1,50,5,45,,0
Douglas DC-6B,Near Cairo,43835/380, Egypt,2/20/1956,"Near Cairo, Egypt",Transport Aerien Intercontinentaux (France),F-BGOD,Karachi - Bahrain - Cairo - Paris,The flight crashed while on approach 18 miles SE of Cairo.  Pilot's inexperience in ILS approaches.  Improper approach.  Crew error. Crew fatigue.,12/30/1899 3:45:00 AM,64,9,55,1,52,3,49,,0
Douglas DC-3,Near Aleppo,14918/2636, Syria,2/24/1956,"Near Aleppo, Syria",Syrian Airways,YK-AAE,Aleppo - Damascus,Crashed shortly after taking off 15 miles from Aleppo.  Double engine failure during a thunderstorm.,,19,3,16,1,19,3,16,,0
Douglas C-47B,Jalkot,16813/33561, Pakistan,2/25/1956,"Jalkot, Pakistan",Pakistan International Airlines,AP-ACZ,Gilgit  - Islamabad,Struck  Lash Golath Mountain while en route. Pilot error while he was attempting a flight beyond his ability or experience.,12/30/1899 2:55:00 PM,3,3,0,1,3,3,0,,0
Douglas DC-3,Tezpur,12989, India,3/21/1956,"Tezpur, India",Indian Airlines,VT-CGN,Gaughail - Tezpur,An improper flare on landing caused the aircraft to bounce causing the right wing to strike the runway after which the plane veered off the runway.,,21,3,18,1,2,0,2,,0
Douglas C-47B,Largs,16670/33418, England,3/28/1956,"Largs, England",Starways,G-AMRB,Liverpool - Glasgow,During an instrument approach at night the pilot of the cargo plane permitted the aircraft to descend below the approved safety height and this resulted in the aircraft striking the ground.,,3,3,0,1,1,1,0,,0
Douglas C-47A,Indapur,10230, India,3/31/1956,"Indapur, India",National Air Operators,VT-DCM,Asansol - Bagdogra,The cargo plane crashed en route. A downdraft which forced down the fully loaded aircraft to the ground when it was flying under exceptionally severe weather conditions below 1000 ft. and possibly at a few hundred feet above the terrain.,12/30/1899 5:20:00 AM,3,3,0,1,3,3,0,,0
Douglas C-47A,Korat ,12667,Thailand,3/31/1956,"Korat ,Thailand",Military - Royal Thai Air Force,L2-14/96,Korat AFB - Bangkok,Crashed shortly after taking off.,,19,2,17,1,19,2,17,,0
Martin 404,Pittsburgh,14103, Pennsylvania,4/1/1956,"Pittsburgh, Pennsylvania",Trans World Airlines,N40403,Pittsburgh - Newark,"The aircraft yawed to the left and crashed shortly after takeoff after a fire warning occurred on the No.1 engine. The cause of the fire warning was a failed exhaust connector clamp in the left engine, which triggered an adjacent fire detecting unit. A windmilling left propeller, the extended landing gear, and the takeoff flaps produced sufficient drag to make the airplane lose altitude and strike the ground. An uncoordinated emergency action in a very short time available to the crew, which produced an aircraft configuration with insurmountable drag.",12/30/1899 7:20:00 PM,36,3,33,1,22,1,21,400,0
Boeing 377 Stratocruiser 10-30,Seattle,15954, Washington,4/2/1956,"Seattle, Washington",Northwest Orient Airlines,N74608,Seattle - Portland,The aircraft experienced extreme buffeting after taking off from Seattle. A decision was made to divert to McChord AFB but the plane continued to loose altitude and had to be ditched in Puget Sound 4.7 nautical miles southwest of Seattle. The plane sank within 15 minutes. The incorrect analysis of control difficulty which occurred on retraction of the wing flaps as a result of the flight engineer's failure to close the engine cowl flaps; the analysis having been made under conditions of urgency and within an extremely short period of time available for decision.,12/30/1899 8:10:00 AM,38,6,32,1,5,1,4,2,0
Aero Commander  520,Skilak Lake,520-7, Alaska,4/9/1956,"Skilak Lake, Alaska",Cordova Airlines,B5386N,Anchorage - Seward,Crashed en route from Anchorage to Seward. The pilot's action in continuing flight during instrument weather conditions on a planned VFR flight through a mountain pass and striking a mountainside while attempting to climb out.,12/30/1899 9:51:00 AM,6,1,5,1,6,1,5,6,0
Consolidated PBY-5A Catalina,Parintins,22021, Brazil,4/18/1956,"Parintins, Brazil",Panair do Brasil,PP-PDB,Belem - Parintins,The plane struck an object in the water while landing and broke up.,,12,5,7,1,3,2,1,,0
Avro 685 York C-1,London,MW308, England,4/30/1956,"London, England",Scottish Airlines,G-AMUL,Stansted - Luqa - Habbaniya,The aircraft made a sudden turn to the right while talking off from Stansted. Overcorrection by the pilot in command which caused the aircraft to veer to the right.,12/30/1899 9:30:00 AM,54,5,49,1,2,0,2,,0
